Name,Gesture
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index3
Speaker,index3
Speaker,index3
Speaker,index3
Speaker,index3
Speaker,index3
Speaker,index3
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index3
Speaker,index3
Speaker,index3
Speaker,index3
Speaker,index3
Speaker,index3
Speaker,index3
Speaker,index3
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index3
Speaker,index3
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index3
Speaker,index3
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
Speaker,index1
